Week,Average
0,185.86830696283894
1,190.61610712274816
2,195.1068944093658
3,199.3406688226919
4,203.3174303627264
5,199.59768169598345
6,203.06041748943483
7,206.26614040959467
8,203.3174303627264
9,200.6257331891497
10,203.06041748943485
11,200.88274606244127
12,202.80340461614327
13,204.46705029655374
14,203.06041748943485
15,204.21003742326218
16,203.31743036272644
17,203.95302454997065
18,204.33160586392327
19,204.21003742326218
20,204.3454818558927
21,203.95302454997065
22,204.60249472918426
23,203.69601167667906
24,202.53251575086654
25,205.76999502936383
26,204.54943385190657
27,205.5002495946658
28,201.54963005368472
29,198.4612072330313
30,193.8648981029919
31,189.62873979817002
32,184.10985630685937
33,178.35416909558978
34,177.5604559171592
35,176.07156230225925
36,174.08736104095863
37,178.0794639403763
38,180.40907548430073
39,181.8937179681502
40,178.54635899371635
41,175.79551578635665
42,170.7320006893633
43,175.14236399683364
44,179.59409273563688
45,183.40762462528662
46,177.21493660384343
47,173.92587565566188
48,170.88598668704574
49,166.7431725234736
50,164.57949912767336
51,169.6556643731913
52,163.8405178647017
53,159.23651056360472
54,163.16538350551556
55,159.47754662326037
56,159.920508489396
57,158.07403353036813
58,153.51577219439662
59,150.66269538647356
60,153.62597349556347
61,149.53186988538187
62,141.50818232056494
63,138.0022250391657
64,140.03561084288086
65,136.94394495856335
66,139.9197765561429
67,142.5961435771386
68,142.77634200968535
69,143.075712723638
70,144.7228835655232
71,145.279442418713
72,144.603505367333
73,147.17812914882637
74,147.579596672652
75,146.41135539625822
76,145.70590779820324
77,147.2266855688016
78,147.64611026594662
79,146.93680827463996
80,146.00426677947812
81,144.96634131042245
82,143.6548778609116
83,142.88185555072337
84,143.05534617580122
85,143.77191996080273
86,141.34632372687344
87,138.74870461523454
88,143.4003246808046
89,141.2013442059114
90,139.3403207142873
91,136.1114168512366
92,133.26735729772594
93,135.74012588187708
94,139.6848976668821
95,136.96142276248634
96,131.43215075529804
97,127.98104416402543
98,132.39424933748728
99,132.64131212588543
100,133.41265381407192
101,135.13201647305507
102,132.87474798937896
103,131.4352941057285
104,134.30763559365326
105,131.74163048898026
106,130.1038507523216
107,131.29224881351874
108,130.43828773230118
109,127.02231051942212
110,125.25977956511824
111,126.1964965659717
112,128.22197544741195
113,130.7528564858633
114,130.8297053797318
115,132.8490103098085
116,131.0567757664559
117,129.60852364002645
118,127.27313400532506
119,126.69285459668362
120,125.17318279078202
121,126.19282703424264
122,125.98765967413723
123,125.56147857824146
124,126.55703169640893
125,127.27090916645218
126,125.69468001879949
127,127.856235176842
128,127.00333887658039
129,129.46984348169283
130,127.58921059901267
131,128.75893860397764
132,129.74874494471112
133,132.33156978950217
134,131.1782190114913
135,130.4822609025754
136,133.1771117570929
137,133.85822818609185
138,130.75673514982861
139,126.56081289830365
140,125.57223183719715
141,123.45074319405137
142,124.33681279890601
143,123.34968567703064
144,122.9485719684037
145,120.0920040162538
146,119.09726979251032
147,114.44955954019134
148,113.12586438415494
149,113.84865226887324
150,114.90173462713852
151,114.33977022259597
152,113.22834682244843
153,113.38492215332076
154,113.91715153429323
155,115.587711979028
156,115.305185325732
157,115.98190929972802
158,116.62232333134048
159,116.3944426733559
160,116.13504498981976
161,116.51386155426174
162,118.12666357853539
163,120.29123127402981
164,119.04814053532957
165,119.49946505387287
166,119.63305117973493
167,119.69246892913733
168,119.34556166162972
169,120.84126559931728
170,121.0752515663525
171,119.09482705366177
172,119.17530993356816
173,117.82770109599541
174,115.350904262274
175,116.58318801699828
176,115.60188488756596
177,113.71637991685749
178,113.550849933307
179,113.48494659045588
180,112.90455163457288
181,112.9714491223457
182,112.06347531959156
183,112.27014226459777
184,111.9877993523604
185,111.23293102212807
186,110.13491894971101
187,109.11937405761721
188,110.14258472034376
189,110.48405712755525
190,111.82914087569289
191,110.57048171806643
192,109.9698207575532
193,108.20604322805751
194,108.67471981715592
195,110.76677751195291
196,109.86925150231923
197,108.32864321955329
198,110.30308871687826
199,109.91303394310951
200,109.37456946250839
201,110.34429317249437
202,112.11215443027652
203,110.51630571115354
204,109.10823835990054
205,109.94224318669053
206,109.80808944102262
207,107.17034504672344
208,107.28106806680226
209,106.51784213362382
210,106.58518239136068
211,105.47872348349267
212,105.31771679208775
213,106.39821527041666
214,106.45980765089735
215,107.26143187776833
216,108.0906902841698
217,109.36573277791037
218,108.57279972863074
219,108.86017973916184
220,107.21502332679223
221,107.5394689506869
222,106.98163307624787
223,105.84990207707881
224,104.53454033499327
225,104.52520311783489
226,103.5917806468455
227,102.34032085080987
228,99.22870104278216
229,97.83418207779326
230,95.94397908882014
231,95.0387496568096
232,94.5795135985528
233,95.21593641975511
234,93.69237637989066
235,93.38689415999934
236,92.26825828028834
237,93.55121033511536
238,94.4738208110971
239,96.05250976405377
240,95.21532712666277
241,94.43935063894612
242,93.65236342636109
243,94.056105974837
244,95.10457916513326
245,95.99613035998206
246,94.07476412369435
247,91.4314356735057
248,94.46238859739633
249,96.5859950748718
250,98.99013276421202
251,96.69458451570698
252,98.71969771655054
253,98.31742715914
254,97.4717175510349
255,96.88737964405934
256,99.49579940331711
257,101.26075725674747
258,101.19278760793107
259,101.0425818891388
260,100.3151954687463
261,99.86304839951062
262,99.42181997146132
263,99.5156591933091
264,100.74445853001623
265,99.80137290252883
266,98.080165062222
267,98.51384620588097
268,98.15367868584339
269,97.94648232905867
270,97.65611189427054
271,98.44428860892204
272,99.04268294275687
273,97.20214704521563
274,95.39649866054765
275,96.08967015386546
276,97.261062206679
277,97.02247659730938
278,96.63584082767058
279,96.85712959803932
280,97.69197113020276
281,97.66320619669268
282,96.31497671041637
283,94.38928666538975
284,93.15574427728352
285,94.24618491668586
286,93.20098484180612
287,94.58509126991224
288,93.64268630436327
289,95.79817884095668
290,96.75178951541227
291,97.50198553798126
292,98.2572056584587
293,98.08206484995861
294,97.85252270239813
295,96.50769328585561
296,97.24116098551741
297,97.28289083090694
298,96.87235075549401
299,96.84172418887549
300,98.01130686294373
301,99.147091435337
302,98.34940965589037
303,97.99773150033042
304,98.32866841467151
305,99.06935964755121
306,99.68176004689232
307,98.70335762873876
308,97.06209376731638
309,95.74581133609101
310,94.90195556522548
311,95.05658871879524
312,95.86426434380452
313,95.96705979137975
314,94.74414484705345
315,94.62523859793347
316,94.96479870751519
317,94.60905173167558
318,92.32670059399636
319,90.67267219807499
320,91.20925424985506
321,91.78150335778363
322,92.49220214548775
323,89.7263936289829
324,92.1300164280697
325,90.67503120263392
326,89.17319556242306
327,87.72989379986645
328,88.55006812145243
329,89.22677732668724
330,87.7221422094007
331,87.4145375339834
332,89.60910987412417
333,90.77174479706072
334,91.5055744937343
335,90.05374857022919
