Week,Average
0,618.2169673794107
1,606.3851848004307
2,595.2029576965281
3,584.6702860677028
4,574.7871699139549
5,565.5536092352844
6,556.9696040316911
7,549.0351543031752
8,541.7502600497367
9,535.1149212713755
10,541.1007045746593
11,546.4369324028659
12,541.7502600497367
13,537.7131431716849
14,534.3255817687104
15,531.5875758408133
16,533.6760262936332
17,532.2371313158907
18,531.4477918132256
19,531.5875758408134
20,531.0778043933238
21,532.2371313158908
22,534.0460137135351
23,536.5044515862567
24,533.3964582384577
25,527.5329699535545
26,526.9232212080435
27,515.9787958666204
28,502.76396917508396
29,491.6591915297431
30,483.15083020946065
31,490.18710509196376
32,486.76724870691385
33,480.36513106684845
34,488.3013732201698
35,480.85305380216323
36,471.97725331798415
37,468.07278254054415
38,462.2484181679654
39,458.2459487204396
40,466.6421987534592
41,483.8482357194997
42,500.2024145355912
43,495.046204779244
44,494.5876365112299
45,488.47455487837817
46,493.1271483357648
47,497.1572178685965
48,488.2989354529358
49,480.3840962745935
50,471.2147139851411
51,483.48610106493027
52,470.48038651996603
53,454.34839274511194
54,441.5633445216379
55,433.58367597928714
56,447.5631702434828
57,465.3029596292124
58,447.6832309711426
59,429.09221928240174
60,409.7511534562466
61,428.6722082971666
62,413.29623389230454
63,401.3609222905159
64,380.63164225703514
65,366.45670961255223
66,357.35538969115447
67,360.05055514700297
68,365.9732395553122
69,365.2985724308989
70,361.36776348890834
71,360.20858058841645
72,347.6864624767873
73,360.036125499399
74,356.42793104013026
75,363.14906610655794
76,359.3079335804577
77,360.1282138082529
78,352.97603161763215
79,350.172590963141
80,343.66717789841294
81,338.33343831092054
82,331.8857136808167
83,328.95946362186095
84,327.69586023238423
85,329.56834083654286
86,328.72786060436636
87,335.5804992836494
88,330.5992060553883
89,334.3801729009747
90,334.57874732783256
91,332.0481246227264
92,328.0369275516859
93,328.6860348882627
94,331.8701571551364
95,328.1690373804364
96,322.91253125865006
97,316.577156439639
98,317.47374256231114
99,316.5543913464479
100,313.4261746492954
101,316.95423543134115
102,315.73213101268703
103,313.548313907476
104,309.1044695132307
105,302.87838856539724
106,301.97083521093543
107,302.3587017090974
108,300.59767334923737
109,301.2562127797006
110,302.47775323690877
111,300.79901379297627
112,300.4014094400873
113,296.0267309624155
114,299.5746371761889
115,299.29156975844097
116,295.10867868422696
117,300.2384753351685
118,297.96734180593035
119,298.4978838943712
120,300.58993438825456
121,302.2989662605538
122,302.57036882335734
123,298.74535390748656
124,300.33184261684573
125,299.76495890783985
126,297.08015150190346
127,292.8425772794693
128,292.6321562907333
129,293.55588054522894
130,290.76930234330393
131,287.6066249475016
132,286.8704828700169
133,287.0459301761184
134,285.6371743173237
135,286.8052208540087
136,283.6558024629294
137,288.4957026410523
138,284.3976462142508
139,282.34870945049954
140,278.49690526844176
141,274.22750996149784
142,271.34948905017615
143,273.3244932354439
144,274.5743081412451
145,273.89636231069204
146,275.719291825905
147,273.4732469604983
148,275.5698888319906
149,274.4761431546872
150,277.6876513972223
151,280.3919477864601
152,286.882275146053
153,288.22682799263384
154,288.45107375437453
155,287.4780639937413
156,284.39630215847797
157,284.60104895905636
158,285.08254084267253
159,283.93147043111145
160,284.94916011719107
161,284.15152205384567
162,283.4636481363793
163,281.0607313018699
164,284.21363573044596
165,282.612489674322
166,280.08180837424277
167,283.5429653296926
168,282.78985305003926
169,280.8942406231377
170,278.6747564571316
171,280.4066972758585
172,282.75878483523064
173,281.9687158283355
174,282.250207273058
175,284.3405144274538
176,284.07582183578097
177,283.70938163762844
178,280.16396033661243
179,278.6570428235892
180,277.27998376852304
181,280.4403629359438
182,281.80510575700737
183,281.69892657195504
184,279.83913456170353
185,279.2397132883091
186,283.9262453367412
187,280.6497216525422
188,282.2780969586201
189,282.20105490678867
190,283.09628403282414
191,284.1888081116541
192,284.9318777158167
193,284.26825856776486
194,291.64202980416366
195,298.12511852627784
196,298.38395680530164
197,300.45101245841107
198,299.8374074565129
199,299.2967878545171
200,296.4244090231792
201,293.1337059262164
202,294.0677904644846
203,291.7480145999055
204,289.77116237539457
205,289.32592055099394
206,290.028178981196
207,293.7894160212704
208,292.91320413039637
209,294.34622133095
210,294.36224431841293
211,295.24268799562645
212,295.4967028005887
213,296.50279319401534
214,294.30263394857866
215,291.5907779708469
216,289.7289287634513
217,291.27511663434484
218,293.20308139154383
219,294.261170512635
220,296.88378830363985
221,297.6121942885585
222,296.4030562647653
223,295.7990297570573
224,299.9939220972012
225,303.54264689291495
226,306.5694418935169
227,307.97756138752857
228,300.7382613094903
229,306.5875163793327
230,310.4459526188882
231,308.05444147578476
232,309.66974302805556
233,313.29236010184593
234,307.58024367186204
235,308.5546527552041
236,302.95355810515287
237,292.3386599988678
238,301.93008908352914
239,295.6136312071943
240,298.97002831685194
241,300.92523588922955
242,300.9220396298655
243,300.80162654997645
244,294.4854701229207
245,288.358927654887
246,288.73609677837334
247,289.1857955453361
248,286.8504435379177
249,290.14207686387755
250,286.2933380667554
251,288.21818744495374
252,288.23961538063577
253,286.3526449705379
254,287.6316717626044
255,287.84975733102954
256,288.86720851134515
257,282.9315483639502
258,286.89545901447735
259,284.1551207774846
260,282.8462302156422
261,285.63986746505213
262,288.71162369441555
263,287.66784632600667
264,289.2857103301476
265,290.4738372628996
266,287.145712190063
267,293.709027921825
268,299.61993000778745
269,296.8956658724577
270,296.80405253743555
271,298.02548448143324
272,299.04927372869093
273,300.7314173505575
274,300.4219676952101
275,303.3612343539408
276,304.8699316140995
277,306.3819584513215
278,309.13156350637985
279,312.7201114022004
280,312.24981263608987
281,312.8194401369006
282,311.1383283240567
283,305.96681322322826
284,298.55972679180303
285,301.1073465504203
286,303.32071445290916
287,302.619266315495
288,305.45417630629476
289,303.62648400729745
290,301.3981586543526
291,300.46839721287785
292,299.978706163146
293,301.42525383307367
294,306.2760926996283
295,307.9454545424021
296,312.38551397312614
297,305.979185001489
298,300.89252887987254
299,293.2232757214389
300,292.63106386258295
301,287.6914392503908
302,291.55695131604153
303,295.6715034572335
304,293.1467682563203
305,296.65253549694324
306,300.5857702463255
307,297.53872083273586
308,294.22914648743006
309,296.95591653498104
310,300.77522434559023
311,298.03376015336926
312,297.997846031534
313,300.01306240123756
314,297.13205553804653
315,293.59488574415593
316,295.5388357642345
